report_status,id,name,latitude,longitude,routing_lat,routing_lon,category,operating_hours,phone,mobile,house_number,street_name,postal_code,admin2,admin3,admin4,admin5,closed_from
new,5VA0A0K11E20KG4LDVDPKGN2602PA,Captain Fauna Petshop,-6.112062172,106.7486857,-6.11194742993327,106.748676269145,Pet Care,,,6285172189108,D/24,Jalan Ebony Golf Raya,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,6VA0A0H11Y20H5XL5AHPOGJ2602PA,Asyifa Medika,-6.120430413,106.7291255,-6.12044649910851,106.72913960628,Medical Services-Clinics,"Monday-Saturday, 08:00-22:00",,,,Jalan Masjid Nurul Qomar,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,9VA0A0H11O20O7ULEWRP9GE2602PA,Kuotieh Babi,-6.089598333,106.7426383,-6.08952285217326,106.742521933725,Casual Dining,,,,,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,EVA0A0S11P20EOFLGF3PTGN2602PA,Bean Star,-6.114037729,106.7548032,-6.11398168165754,106.754782182247,Coffee Shop,"Monday-Sunday, 07:00-21:00",,6282111427988,,Jalan Mandara Permai Vii,14460,DKI Jakarta,Jakarta Utara,Penjaringan,Kapuk Muara,
new,SVA0A0F11R20DCCLEQQPGGE2602PA,Sis Learning Center,-6.111910309,106.7432498,-6.11184078877692,106.743303871285,Training and Development,,,,H/26,Jalan Marina Indah,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,UVA0A0U11J20HUBLFNGPFGS2602PA,Yadea,-6.092541554,106.7399096,-6.09251666913612,106.739846755174,Business Service,,,,A/72,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,XVA0A0811P20WQGL0RGPXGB2602PA,Nasi Uduk Bang Zaki,-6.119560875,106.7293773,-6.11947797408409,106.729463655121,Restaurant,,,,,Jalan Kapuk Kamal Raya,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,PVA0A0511C20USNL6Y1PWGC2602PA,Synergi Lestari Pratama,-6.088315977,106.7316254,-6.08851118861047,106.731803728444,IT and Office Equipment Services,"Monday-Friday, 08:00-17:00",,6226081072,,Jalan Ebony Beach,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,0VA0A0111F20UBGLNA8P3GH2602PA,Toko Deby Ramadhan,-6.120826864,106.72928,-6.12080404310707,106.729309766382,Convenience Store,"Monday-Sunday, 08:00-19:00",,,,Jalan Kayu Besar,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,0VA0A0511620HFSLZRNPLGN2602PA,Bps Express,-6.117525175,106.7273021,-6.1174686375,106.7273586375,Office Supply and Services Store,,,,,Jalan Kapuk Kamal Raya,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,0VA0A0F11A20VK7LVO9PRGA2602PA,Hotto,-6.091811135,106.7383535,-6.09148,106.73826,Specialty Store,,,,,Jalan Ebony Beach,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,1VA0A0M11M20XWIL6Z0PKGX2602PA,Grand Mai Catering,-6.103511667,106.7409583,-6.10352502380891,106.741046788859,Restaurant,,,,,Jalan Pantai Indah Kapuk Boulevard,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,2VA0A0611Y20TBYLIIWP7GM2602PA,Sembilan Sejahtera,-6.112071133,106.7485739,-6.11195661744418,106.748564487763,Butcher,"Monday-Friday, 08:00-17:00",,622122571393,D/25,Jalan Ebony Golf Raya,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,3VA0A0A11I20VGOLTZAP9GA2602PA,Tiara Jawelerry,-6.1038937,106.7416303,-6.10388883176471,106.741567012941,Jeweler,,,,,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,6VA0A0211I20LLELUSUPGGV2602PA,Toko Kosmetik Abesh,-6.120579565,106.7290904,-6.12055219115385,106.729131460769,Hair and Beauty,,,,,Jalan Kayu Besar,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,6VA0A0411I20CCPLUNKPSGZ2602PA,Mie Kriting 57 P.siantar,-6.08989,106.74558,-6.08992981900452,106.745543800905,Restaurant,,,,7,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,6VA0A0711L20KA5LJLWPVGK2602PA,Reneo Door & Window,-6.112314848,106.737759,-6.11233166958982,106.737788190406,Home Improvement-Hardware Store,,,,116,Jalan Crown Golf Boulevard,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,8VA0A0711320AQQL0XKPJGC2602PA,Do Papa,-6.102682003,106.741352,-6.10268216960771,106.741353296643,Casual Dining,,,,,Jalan Pantai Indah Kapuk Fresh Market,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,8VA0A0911420GRJL3F6PEGP2602PA,Bbq Rong Fu Chinese Food,-6.088013333,106.7422767,-6.08811564406595,106.74241140957,Casual Dining,,,,,Jalan Pulau Untung,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,AVA0A0C11G20WGCLXRFP5GF2602PA,Photocopy,-6.111426626,106.746849,-6.11128261227885,106.746831275234,Business Service,,,,G/19,Jalan Ebony Golf Raya,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,BVA0A0111Y20BIWL6PPPJGQ2602PA,Depot Air Isi Ulang,-6.121934505,106.7285042,-6.12193429098,106.72850450914,Specialty Store,,,6281210199151,,Jalan Kayu Besar,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,BVA0A0311420JBEL4CGPKGK2602PA,Topcell Servis Hape,-6.120169278,106.7288575,-6.12017461782319,106.728850469233,Mobile Service Center,,,,,Jalan Kayu Besar,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,BVA0A0U11S20F0ELIWJP3GH2602PA,Ptpermata Tanet Valasindo,-6.096784055,106.7395307,-6.09680512438124,106.739439939589,Business Service,"Monday-Friday, 09:00-17:00",,,35,Jalan Rukan Beach Boulevard,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,CVA0A0611T20YMVLDQVP3GV2602PA,Royal Cohibar Whiskey Bar,-6.112221044,106.7449621,-6.11229848246154,106.744977587692,Bar or Pub,,,,19,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,CVA0A0N11W20NYILGH2PWGF2602PA,Toko Hendra,-6.1032272,106.7417194,-6.1032444912198,106.741896635003,Convenience Store,,,,,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,DVA0A0611J20D49LDC5P7GF2602PA,Warung Makan Bu Maryani,-6.118412058,106.7300808,-6.11845539511969,106.730131031661,Restaurant,,,,,Jalan Kapuk Kamal Muara,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,DVA0A0H11I20YC1LZSXP7GB2602PA,Edene,-6.089116667,106.7430683,-6.08902380652004,106.743152562287,Jeweler,"Tuesday-Sunday, 12:00-19:00",,6282289988015,,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,EVA0A0311520P0ULHQLPOGO2602PA,Lola Eyelash,-6.112139644,106.7467794,-6.11200499462862,106.746832633472,Hair and Beauty,"Monday-Sunday, 09:00-18:00",,6281807416844,A/37,Jalan Ebony Golf Raya,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,EVA0A0I11X20TRCL0VDP8GH2602PA,Moida K-Beauty,-6.109397242,106.7406712,-6.10933646515998,106.74109663788,Hair and Beauty,"Monday-Sunday, 10:00-22:00",,,,Jalan Pantai Indah Kapuk Boulevard,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,FVA0A0D11520NT7LBJ9P3GT2602PA,Warteg Berkah Jaya,-6.112200011,106.7469646,-6.11207647604256,106.747013439402,Restaurant,,,,A/37,Jalan Ebony Golf Raya,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,FVA0A0R11C20NFXLQOKPSGA2602PA,Wahana Express,-6.111638819,106.7464351,-6.11182118677756,106.746458547286,Couriers,"Monday/Tuesday/Wednesday/Thursday/Friday/Sunday, 10:00-20:00; Saturday-Saturday, 10:00-19:00",,628111584091,38,Jalan Ebony Golf Raya,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,GVA0A0111J20DDBLLIBPMGG2602PA,Oya Doors And Windows System,-6.112772708,106.7434307,-6.11268326029358,106.743457534312,Interior and Exterior Design,,,,A/52,Jalan Marina Indah,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,GVA0A0R11E20Y26LMNPPWGO2602PA,Toko Emas Sumatra,-6.121934483,106.7300935,-6.1219439915,106.7300839915,Jeweler,,,,,Jalan Kayu Besar,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,GVA0A0W11Z20CT1LRNIP4GC2602PA,Pangkalan Gas Sri Sumarni,-6.120720905,106.729203,-6.12071614382166,106.729200402994,Specialty Store,,,6281286977023,,Jalan Masjid Nurul Kamal,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,JVA0A0F11T20RO2L0K2POGI2602PA,Hermanto,-6.1030381,106.7417695,-6.10305233241013,106.741915382204,Business Service,,,,,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,KVA0A0A11D20ZOILJMWPPGU2602PA,Zhang Er Suan Cai Yu,-6.088078333,106.7422833,-6.08815368704939,106.742382516165,Casual Dining,,,,,Jalan Pulau Untung,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,LVA0A0P11J20YXXLLXQP3GN2602PA,Rich Railng,-6.115576111,106.7553905,-6.11555937027939,106.755563487446,Interior and Exterior Design,"Thursday-Sunday, 09:00-22:00",,6282257724545,,Jalan Kolonel Sugiono,14460,DKI Jakarta,Jakarta Utara,Penjaringan,Kapuk Muara,
new,LVA0A0U11F20WO2LTNDPPGG2602PA,Add Stone,-6.088301667,106.7438617,-6.08831594968213,106.743848038304,Home Improvement-Hardware Store,,,6281807777280,76,Jalan Rukan Golf Island,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,MVA0A0Q11420MZTLWPGPUGQ2602PA,Sop & Sate Kambing Hj Rosi,-6.103429461,106.7412769,-6.10342698042987,106.741257594693,Restaurant,,,,,Jalan Pantai Indah Kapuk Fresh Market,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,QVA0A0A11V20MRXLAUYPEGT2602PA,Urs Coffee,-6.1027126,106.7415542,-6.10255597415929,106.741587332389,Coffee Shop,,,,,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,SVA0A0H11920XXALAB5P3GA2602PA,Bidan Dewi Nurul,-6.120741507,106.7292366,-6.12072932841147,106.729252485115,Medical Services-Clinics,"Monday-Sunday, 00:00-23:59",,,,Jalan Kayu Besar,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,TVA0A0011X20SNBLDS0PLGG2602PA,Raya Laundry And Steam,-6.121509182,106.7286006,-6.12141999750259,106.72854857571,Dry Cleaning and Laundry,"Monday-Sunday, 09:00-23:00",,,,Jalan Masjid Nurul Qomar,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,TVA0A0911X20HTGL7O1PLGL2602PA,Jajanan Tingkok,-6.089211667,106.742135,-6.08942901850139,106.742003899094,Food-Beverage Specialty Store,,,,2,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,UVA0A0A11I20IA8LIJ7PCGD2602PA,Cuci Steam James Bond,-6.120302253,106.7288825,-6.12027098983569,106.728923663166,Car Wash-Detailing,,,,,Jalan Kayu Besar,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,UVA0A0S11P20BP6L3F5PMGD2602PA,Huper Barclay Paramax,-6.094400013,106.7400252,-6.09424763758045,106.740100002479,Business Service,"Monday-Saturday, 09:30-17:00",,,1,Jalan Concerto Beach,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,UVA0A0X11O20VPKLKVCP8GQ2602PA,Pusat Beer,-6.103955,106.741565,-6.10395476470588,106.741561941176,Wine and Liquor,,,,,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,VVA0A0011R20SV7LYY8PLGZ2602PA,Toko Susu & Pampers Hn Store,-6.120413527,106.7291483,-6.12042785626478,106.729160865663,Specialty Store,,,,,Jalan Masjid Nurul Qomar,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,VVA0A0411A20SSVL3MTP6GO2602PA,Dimsum Mentai,-6.120155652,106.7288507,-6.12016270116167,106.728841418604,Food-Beverage Specialty Store,,,,,Jalan Kayu Besar,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,VVA0A0511920KCDLCEWPSGB2602PA,As Marble,-6.112511234,106.7470493,-6.11253548796008,106.747114928363,Floor and Carpet,"Monday-Friday, 09:00-17:00; Saturday-Saturday, 09:00-15:00",,6281111815662,A/28,Jalan Ebony Golf Raya,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,VVA0A0Z11X20GF0LSHZPUGK2602PA,Nasi Uduk Betawi Kebon Kacang,-6.10434,106.7414767,-6.10449372687585,106.741465312824,Restaurant,,,,37,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,WVA0A0111420RNOLVTTP4GH2602PA,Rumah Kopi,-6.103038333,106.74178,-6.10305154848144,106.741915458685,Coffee Shop,,,,,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,WVA0A0E11720G3ULUG8PDGD2602PA,Leeloo Siomay,-6.1114996,106.7526061,-6.11153,106.7526061,Food-Beverage Specialty Store,,,,,Jalan Pantai Indah Timur,14460,DKI Jakarta,Jakarta Utara,Penjaringan,Kapuk Muara,
new,XVA0A0811O20H84LTXGPEGO2602PA,Secret Garden,-6.09094,106.7463517,-6.09081359639446,106.746467179837,Specialty Store,,,,19,Jalan Melody Golf V No5,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,XVA0A0D11Z20LFCLFKHPCGF2602PA,Green Relaxing,-6.111901787,106.7476131,-6.11179487204474,106.74764818147,Wellness Center and Services,"Monday-Sunday, 10:00-22:00",,6281296151697,E/36,Jalan Ebony Golf Raya,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,XVA0A0I11120HEWLML6P2GZ2602PA,Photo Copy Adi,-6.120648333,106.728965,-6.1206039525002,106.728932824138,Restaurant,,,,,Jalan Kayu Besar,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,YVA0A0B11C20S3ELUCKP0GK2602PA,Zhongtian Fitness,-6.110951777,106.7375104,-6.11097066882487,106.737542726011,Fitness-Health Club,,,,20,Jalan Boulevard,11730,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,YVA0A0J11120D55LPHAP4GY2602PA,Esard Lift,-6.110798306,106.7376122,-6.11081192271486,106.737635499712,Business Service,,,,20,Jalan Boulevard,11730,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,YVA0A0J11V20CKWL0NSPLGW2602PA,Deff & Lee Cafe,-6.112125365,106.7467267,-6.11198504592376,106.746782174984,Coffee Shop,,,,A/53,Jalan Ebony Golf Raya,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,ZVA0A0011820EZRLWX2PGGH2602PA,Ahs Saturi 88,-6.120296148,106.7301487,-6.12022019003781,106.730222759013,Specialty Store,"Monday-Sunday, 10:00-18:30",,,,Jalan Kapuk Kamal Raya,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,TVA0A0D11G20TEOLXD8PLGE2602PA,Hdca Klinik,-6.094938831,106.7431974,-6.09494158088824,106.743201721253,Dentist-Dental Office,"Monday-Sunday, 09:00-20:00",,6285178518807,138,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,0VA0A0G11V20LNWLQQFP2GX2602PA,Kedai Bakso King,-6.111734407,106.7451867,-6.11184123814655,106.745200207386,Restaurant,,,,H/82,Jalan Marina Indah,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,0VA0A0K11K20KXALICFPMGZ2602PA,Indomaret Pantai Indah Kapuk Fresh Market,-6.102981255,106.7413467,-6.10297723111928,106.741315383711,Convenience Store,,,,,Jalan Pantai Indah Kapuk Fresh Market,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,0VA0A0K11K20KXALICFPMGZ2602PA,Indomaret Ebony Golf Raya,-6.111597374,106.7486646,-6.11155883967677,106.748661003463,Convenience Store,,,,I/25,Jalan Ebony Golf Raya,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,0VA0A0T11P20UAXLODNP5GO2602PA,Depot Air A Dua,-6.120548679,106.7276347,-6.12053159400861,106.727647717136,Specialty Store,,,,,Jalan Puskesmas,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,1VA0A0111020PIELAN2POGZ2602PA,Martha Jaya,-6.103466667,106.741715,-6.10360221545122,106.741699939061,Specialty Store,,,,,Jalan Pantai Indah Kapuk Fresh Market,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,1VA0A0C11C20J6DLJNJPGGM2602PA,Toko Ikan Asin Sarko's,-6.103038333,106.74178,-6.10305154848144,106.741915458685,Food-Beverage Specialty Store,,,,,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,1VA0A0L11420A93L8OAP7GL2602PA,Surya Mas Jewellery,-6.1031413,106.7414201,-6.10312539857538,106.741296345434,Jeweler,,,,,Jalan Pantai Indah Kapuk Fresh Market,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,2VA0A0E11520UZILHT9PDGA2602PA,Top Beef,-6.104021667,106.7413733,-6.10399738244541,106.741184302814,Business Service,,,,,Jalan Pantai Indah Kapuk Fresh Market,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,2VA0A0F11420VLEL8NGP0GZ2602PA,Taar 26 Laundry,-6.120124277,106.7275764,-6.12008658964414,106.72755345987,Dry Cleaning and Laundry,,,,,Jalan Kayu Besar,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,3VA0A0611720CCULQHBPIGV2602PA,Kwichiw Houtai,-6.093696355,106.7439496,-6.09379,106.74388,Wine and Liquor,,,,68,Jalan The Piano 7,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,3VA0A0K11820EKCL5IMPMGC2602PA,Warung Kopi Bang Topik,-6.119870983,106.7297197,-6.11990844491035,106.729752999476,Coffee Shop,,,,,Jalan Ki Rasyihun,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,3VA0A0Z11N20RPULYB9P3GG2602PA,Poxtana,-6.092552801,106.7463865,-6.09246863068623,106.746414818984,Business Service,,,,49,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,4VA0A0311720P16LOSKPEGR2602PA,Warung Sadam Husein,-6.120889784,106.7293202,-6.12086308159552,106.729355029223,Convenience Store,,,,,Jalan Kayu Besar,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,5VA0A0011E20GFKL2NOP4GV2602PA,Lim Hui Meng Akwet,-6.1029878,106.7418273,-6.10299692080141,106.741920788215,Business Service,,,,,Jalan Pantai Indah Kapuk,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,5VA0A0G11E20MV4L0VNPHGN2602PA,Nasi Goreng Pakde Jo,-6.120096347,106.7288161,-6.12010842552861,106.728800196604,Restaurant,,,,,Jalan Kayu Besar,11820,DKI Jakarta,Jakarta Barat,Kali Deres,Tegal Alur,
new,6VA0A0311420DOELOGEPJGW2602PA,Warung Sedurasa,-6.094818786,106.7397994,-6.09477900926079,106.739724108315,Convenience Store,,,,6,Jalan Bidara,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,7VA0A0C11220A2FLQHSPWGL2602PA,Uda Rio,-6.103103333,106.74154,-6.10307289231357,106.741303092049,Business Service,,,,,Jalan Pantai Indah Kapuk Fresh Market,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
new,9VA0A0Q11M20HYFL0QZPTGJ2602PA,Hot.pot Huoguo,-6.102968485,106.7413248,-6.10296743679107,106.7413166422,Casual Dining,,,,,Jalan Pantai Indah Kapuk Fresh Market,14470,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,
