placeid,name1,name2,displaylatitude,displaylongitude,routinglatitude,routinglongitude,chainname,cqs,status,country,hno,streetname,upaddress,postalcode,pointaddress,admin2,admin3,admin4,admin5,primarycategorynm,FoodNM,WEBADDRESS,PHONE,MOBILE,TOLLFREE,EMAIL,mondayopening,mondayclosing,tuesdayopening,tuesdayclosing,wednesdayopening,wednesdayclosing,thursdayopening,thursdayclosing,fridayopening,fridayclosing,saturdayopening,saturdayclosing,sundayopening,sundayclosing,Link,Action,Last Update Transaction,closed_from,batch_type
360qqgvm-d586fed03c8680a5a14715b2982ead1a,Kopi Konnichiwa,,-6.09478,106.7437,-6.09483,106.74372,,3,ACTIVE,IDN,,The Piano,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Coffee Shop,,,6280000000000,,,kopikonnichiwa@gmail.com,0.3125,0.916666667,0.3125,0.916666667,0.3125,0.916666667,0.3125,0.916666667,0.3125,0.916666667,0.3125,0.916666667,0.3125,0.916666667,,,,2022-07-15,
360qqgvh-bade054983ef9e2fe0ff9ff1ad531dd0,Santo Dental Pik,,-6.1113,106.74302,-6.11119,106.7431,,3,ACTIVE,IDN,,Town House Cordoba,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Dentist-Dental Office,,,,,,,,,,,,,,,,,,,,,,,,2025-10-03,
360qqgvk-b063176a1dc1c3106d5cf511aeab7bd2,Kinetic Farm Pik,,-6.09034,106.74189,-6.09041,106.74186,,3,ACTIVE,IDN,,The Golf Island Boulevard,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Florist,,,6290000000000,,,,0.416666667,0.75,0.416666667,0.75,0.416666667,0.75,0.416666667,0.75,0.416666667,0.75,0.333333333,0.75,0.333333333,0.75,,,,2022-10-22,
360qqgvk-950a5526b1d6eab8a188412bcc5c323d,Genbu,,-6.0913908,106.7411019,-6.0913,106.74118,,2,ACTIVE,IDN,,Jalan Pantai Indah Kapuk,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Restaurant,Japanese,,,,,,0.458333333,0.916666667,0.458333333,0.916666667,0.458333333,0.916666667,0.458333333,0.916666667,0.458333333,0.916666667,0.458333333,0.916666667,0.458333333,0.916666667,,,,2023-03-11,
360qqgvk-167cc260e91b17fcc920be9820edaf41,Karlea Massageholic,,-6.0949883,106.7390131,-6.09504,106.7391,,3,ACTIVE,IDN,3,Jalan Pantai Indah Kapuk,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Wellness Center and Services,,,,6290000000000,,,0.375,0.958333333,0.375,0.958333333,0.375,0.958333333,0.375,0.958333333,0.375,0.958333333,0.375,0.958333333,0.375,0.958333333,https://drive.google.com/file/d/1968ruSJj1ftFSkozPuQYOfS-f4oz6Qdh/view?usp=share_link,update,,,
360qqgvk-941203a9cc69545a1c52e171057e604a,RM Sederhana Baru,,-6.10353,106.74145,-6.10359,106.74159,SEDERHANA,3,ACTIVE,IDN,163,Jalan Pantai Indah Kapuk,"Jalan Pantai Indah Kapuk 163, RT06/RW02, Kamal Muara Kel., Penjaringan, Jakarta, 14470, Indonesia",14470,918156008,,DKI Jakarta,Jakarta,Penjaringan,Casual Dining,Indonesian,,6290000000000,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,https://drive.google.com/file/d/1S754ZECXeaAFILeIrJXh6HSQEehu7rcM/view?usp=sharing,delete,,2024-03-18,
360qqgvh-a2a42ed4e5bd53b9773b01f079e91171,Shabu-Shabu On-Yasai 温野菜,,-6.109006,106.7400155,-6.10897,106.7398,,3,ACTIVE,IDN,,Jalan Pantai Indah Kapuk,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Restaurant,Japanese,,,,,,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,https://drive.google.com/file/d/1qu33297roTvrorhmF4fZJCKkM5gvSCRX/view?usp=sharing,delete,,2021-09-05,
360qqgvh-f36f44ce954f6b630abc9c798018b5d9,Osaka Food Ho Pik,,-6.11043,106.739,-6.11019,106.73903,,3,ACTIVE,IDN,,Jalan Pantai Indah Kapuk,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Restaurant,Japanese,,,6280000000000,,,0.3125,0.708333333,0.3125,0.708333333,0.3125,0.708333333,0.3125,0.708333333,0.3125,0.708333333,0,0,0,0,https://drive.google.com/file/d/1s5oS7HN4aeDj_bKLf-e8Apq6GmDX_1bl/view?usp=drive_link,delete,,2025-05-14,
360qqgvk-70083382f40e02f373596c767eab9b9b,Soto Tangkar Restaurant,,-6.10367,106.74128,-6.10366,106.74124,,3,ACTIVE,IDN,21,Jalan Pantai Indah Kapuk Fresh Market,"Jalan Pantai Indah Kapuk Fresh Market 21, RT06/RW02, Kamal Muara Kel., Penjaringan, Jakarta, 14470, Indonesia",14470,896493206,,DKI Jakarta,Jakarta,Penjaringan,Restaurant,Indonesian,,,,,,0.458333333,0.791666667,0.416666667,0.875,0.416666667,0.875,0.416666667,0.875,0.416666667,0.875,0.416666667,0.875,0.458333333,0.791666667,https://drive.google.com/file/d/1l2B6pUvxpFTDW5O3KrFp8zcuQ-1FAKUD/view?usp=drive_link,delete,,2023-06-20,
360qqgvk-1accc1148f23de642e1c1ae279027441,Sushi Hiro Batavia Cove Pik,,-6.089867129,106.7407115,-6.08991,106.74084,,4,ACTIVE,IDN,,Jalan Pantai Indah Kapuk,,14470,,,DKI Jakarta,Jakarta Utara,Penjaringan,Restaurant,Japanese-Sushi,,6280000000000,,,,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,0.416666667,0.916666667,https://drive.google.com/file/d/1EWOg1gjSucSDkNbpeDqEExLgYHlFL3vH/view?usp=drive_link,update,,,
